,Name,Dish,Area,Service,Min,Contact,WhatsApp,Website,Address,lng,lat
18,A Wen Mianshi (Serangoon),"Ban Mian, Fuzhou, Pork Rib Noodle",North,Self Pickup,,96977813,,,19 Serangoon North Avenue 5 #02-02 Singapore 554913,103.87216800000004,1.3755240000000413
20,Acoustic Cafe,"Cafe, Coffee, Brownie",North,Self Pickup,,,96713019.0,www.facebook.com/acousticcafesg,421 Ang Mo Kio Avenue 10 #01-1159,103.82936850000004,1.38013200000006
21,Affinity Cafe & Bakery,Western,North,Delivery / Self Pickup,$30 (delivery within 1km),96380982,,,149 Serangoon North Avenue 1 #01-917 Singapore 550149,103.87355850000006,1.3667760000000726
22,Ah Chiew Teochew Fishball Noodles,"Fishball Noodle, Bak Kut Teh",East,Self Pickup,,97634447,,,38 Lorong 11 Geylang Road,103.87692450000009,1.313694000000055
23,Ah Di Mee Hoon Kuey,"Ban Mian, Mee Hoon Kuey",West,Self Pickup,,85359670,,,25 Ghim Moh Link,103.78645200000005,1.3081500000000688
24,Ah Hua Fishball Noodle,Fishball Noodle,West,Self Pickup,,,88150716.0,,415 Pandan Gardens #01-117,103.74826050000007,1.3207680000000437
26,Ah Keat Kway Chap and Pig Organ Soup,"Kway Chap, Pig Organ",North,Self Pickup,,97839589,,,211 Marsiling Crescent,103.77356400000008,1.4459850000000642
27,Ah Lock Kitchen,"Hakka Yong Tau Foo, Pancake",North,Delivery / Self Pickup,FOC Woodlands only,,88260244.0,,573 Woodlands Drive 16,103.79850750000008,1.4310990000000743
28,Ah Orh Seafood Restaurant,Zi Char,South,Self Pickup,,62757575,88739661.0,,115 Jalan Bukit Merah #01-1627 Singapore 160115,103.82648850000004,1.2810780000000364
30,Ah Tai Hainanese Chicken Rice,Chicken Rice,South,Self Pickup,,81376559,,,1 Kadayanallur Street Maxwell Food Center Stall 7 Singapore 069184,103.84464150000008,1.2803850000000239
31,Ah Wai 杂菜饭/小炒,"Fried Rice, Mee Goreng",South,Self Pickup,,91511332,,,202 Henderson Road #03-18 Apex @Henderson Singapore 159545,103.82041350000009,1.2823920000000726
32,Ah Xiao Teochew Braised Duck,Braised Duck Rice,Central,Delivery / Self Pickup,Min order $10 with $6-$12 delivery fee,,91098026.0,,505 Beach Rd #B1-53 Singapore 199583,103.86388350000004,1.3028760000000261
33,Ah Yam Vegetable Stall,Vegetables,North,Islandwide# / Self Pickup,$35,,,https://ahyamvegetables.myshopify.com,209 Hougang Street 21 Kovan Market #01-195-197,103.88354850000007,1.3600620000000276
34,AHTTI Korean Restaurant,Korean,West,Islandwide,Pls Enquire,68039341,,,2 Venture Drive #02-43 Singapore 608526,103.74457500000005,1.3301550000000475
35,Ai Hut Fish Soup Seafood Soup,"Fish Soup, Seafood Soup",Central,Self Pickup,,,97690394.0,,505 Beach Road #01-107 Golden Mile Food Centre Singapore 199583,103.86388350000004,1.3028760000000261
36,Air Pasang Rumah Makan* (Bukit Batok),Halal Seafood,West,Delivery / Self Pickup,Pls Enquire,82619479,,,374 Bukit Batok Street 31 #01-192 Singapore 650374,103.75060050000008,1.3580100000000357
37,Air Pasang Rumah Makan* (Bukit Panjang),Halal Seafood,West,Delivery / Self Pickup,Pls Enquire,81109219,,,445 Fajar Shopping Mall #01-548 Singapore 670445,103.77059850000006,1.3837410000000432
38,Al-Sahira Restaurant,Muslim,North,Call to Enquire,Pls Enquire,69095932,,,163 Ang Mo Kio Avenue 4 #01-428,103.83817050000005,1.3735530000000722
39,Alma by Juan Amador,"Western, Burger, Pasta",Central,Delivery / Self Pickup,"$90 FOC for district 9,10 and 11",,,https://alma.sg/takeaway-delivery-food-menu-gallery/,22 Scotts Road Singapore 228221,103.83467850000005,1.308240000000069
41,Anything Lah Ngoh Hiang,"Ngoh Hiang, Prawn Fritters",West,Delivery / Self Pickup,Pls Enquire,87826563,,,359 Bukit Batok Street 31 Singapore 650359,103.75123050000008,1.361340000000041
42,Aroy Thai Restaurant (East Coast),Thai Food,East,Islandwide,$50 FOC / Pls Enquire,69705028,92258852.0,,205 East Coast Road Singapore 428904,103.90659300000004,1.3073310000000333
43,Aroy Thai Restaurant (Thomson),Thai Food,North,Islandwide,$50 FOC / Pls Enquire,63383880,92258852.0,,238 Thomson Road #03-61/64 Singapore 307684,103.84386300000006,1.3200210000000538
44,Ashes Burnnit,Burgers,Central,Delivery / Self Pickup,Pls Enquire,92704670,92229130.0,,505 Beach Road #B1-24 Golden Mile Food Centre Singapore 199593,103.86388350000004,1.3028760000000261
45,Atmosphere Bistro & Bar,"Western, Burger",East,Delivery / Self Pickup,,64409705,,,920 East Coast Parkway #01-25/26/27,103.90618350000005,1.2989790000000312
46,ATO,"Japanese, Ramen",Central,Delivery / Self Pickup,Pls Enquire,91376372,,,8 Wilkie Road #01-22 Singapore 228095,103.84951050000006,1.302120000000059
47,Avomin,"Brownies, Cakes, Snacks",Central,Delivery / Self Pickup,$30,98810378,,http://www.avominsg.com,138 Robinson Road Oxley Tower #02-37 Singapore 068906,103.84843950000004,1.2787020000000666
48,Bakery and Bar St. Marc,"Burgers, Pasta, Western",East,Self Pickup,Pls Enquire,63421786,63421786.0,,920 East Coast Parkway #01-09-10 Singapore 449875,103.90618350000005,1.2989790000000312
49,Ban Leong Wah Hoe,Zi Char,North,Delivery / Self Pickup,$100 FOC else $20 with $5 delivery fee (North Areas),64554013,,,122 Casuarina Road Singapore 579510,103.82811300000009,1.3766220000000544
50,Banting Traditional Cuisine,Handmade Noodle,Central,Self Pickup,,,,www.facebook.com/bantingtraditionalcuisine.com,85 Dawson Rd #01-02 Singapore 141085,103.80976200000003,1.2953160000000707
52,Bao Mei Chicken Rice,Chicken Rice,West,Self Pickup,,,93806584.0,,5 Dover Crescent #01-02,103.78263600000008,1.3040640000000394
55,Bearded Bella,"Western, Pasta",South,Delivery / Self Pickup,$30,,98800775.0,,8 Craig Road Singapore 089668,103.84285950000009,1.2776940000000536
56,Bedok Soya Bean Drink Stall,Soya Bean Drink,East,Self Pickup,,94206662,,,216 Bedok North Street 1 #01-10 Singapore 460133,103.93333650000005,1.3269780000000537
58,Bee Kia Seafood Restaurant,"Hor Fun, Zi Char",North,Self Pickup,,62548490,,,1 Thomson Road #01-326 Singapore 300001,103.84257150000008,1.3255920000000287
59,Beerthai House Restaurant,Thai Food,Central,Islandwide,Pls Enquire,84816370,,,5001 Beach Road #01-96 Singapore 199588,103.86517050000003,1.3027680000000714
60,belle-ville Pancake Cafe (Tanjong Pagar),Pancakes,South,Delivery / Self Pickup,$30 FOC delivery in Tanjong Pagar Area,67874389,,,100 Tras Street #01-14B Singapore 079027,103.84386750000004,1.2769740000000525
61,Bellton Patisserie,Cakes,East,Islandwide,Pls Enquire / Pickup @ Simei MRT,,91180989.0,www.belltonpatisserie.com,3015 Bedok North Street 5 Singapore 486350,103.94742600000006,1.3367520000000468
62,Big Boys Sizzling Hot Plate,Western,West,Islandwide,$30 / Pls Enquire,93837475,,,144 Upper Bukit Timah Road #04-25 Singapore 588177,103.77653850000007,1.3424130000000218
67,Birdie Num Num Gastrobar,Western,East,Delivery / Self Pickup,Pls Enquire,64492546,,,54 Jalan Kembangan Singapore 419119,103.91392800000006,1.322370000000035
68,Bistro 101,Western,East,Self Pickup,,87991382,91139593.0,,101 Eunos Avenue 3 #01-01/02 Singapore 409835,103.89858750000008,1.3200390000000652
70,BKK Bistro and Bar,"Thai, Boat Noodle",North,Delivery / Self Pickup,$25,,,https://www.fb.com/bkkbistrobar,"81 Lorong Chencharu, ORTO, Singapore 769198",103.82950350000004,1.4127840000000447
73,Bodhi Deli,Vegetarian,Central,Delivery / Self Pickup,Min 3 Dishes with $6 delivery fee,83395400,,,190 Middle Road #03-26A Fortune Centre Singapore 188979,103.85229150000004,1.3004100000000562
74,Bollywood Veggies,"Nasi Lemak, Curry",West,Delivery / Self Pickup,$50 FOC else $10 delivery fee,68985001,82469034.0,,100 Neo Tiew Road Singapore 719026,103.71675150000004,1.4183550000000196
75,Boon Kee Kway Teow Noodle,"Fishball Noodle, Laksa",East,Self Pickup,,93628578,,,92 Jalan Senang Singapore 418464,103.91646600000007,1.3263480000000527
78,Bowl Chap,Rice Bowl,West,Islandwide,FOC if order one day in advance,,91097929.0,,1 Fusionopolis Place Galaxis #01-25 Singapore 138522,103.78810350000003,1.2998610000000212
79,Box N Sticks,Japanese,Central,Delivery / Self Pickup,$100 FOC else $50 with $5 delivery fee,63417780,88031461.0,,28 Kandahar Street Singapore 198889,103.85969400000005,1.3021110000000249
80,Breadstory,Bread,West,Limited Delivery,Only Telok Blangah,97281273,97281375.0,,12 Telok Blangah Crescent #01-93 Singapore 090012,103.81951800000007,1.2771810000000414
81,Brew & Bar,Western,East,,Pls Enquire,63846733,90489164.0,,6 Jalan Pari Burong Singapore 488672,103.94803800000005,1.3334760000000756
82,Bugis Street Chuen Chuen Chicken Rice,Chicken Rice,Central,Delivery / Self Pickup,$50 FOC else $5 for min order of $20,,93847955.0,,411 Balestier Road #01-12 Balestier Market Singapore 329930,103.84917300000006,1.3255290000000741
84,Butterknife Folk,Ice Cream,Central,Delivery / Self Pickup,$60 FOC else $8 delivery fee,,,https://www.butterknifefolk.com/shop,107 North Bridge Road #02-02 Funan Singapore 179105,103.85024400000003,1.2912030000000527
85,Caffe Zeppin,"Western, Fusion",North,Delivery / Self Pickup,,62621367,,https://caffezeppin.oddle.me/,26 Sin Ming Lane #01-116,103.83395850000005,1.3594860000000608
86,Cajun on Wheels Plaza Singapura,Western,Central,Islandwide,$80 FOC,63419665,,https://cajunonwheels.oddle.me/en_SG/,68 Orchard Rd #03-92 Singapore 238839,103.84498350000007,1.3000320000000443
87,Candlenut,Peranakan,Central,Delivery / Self Pickup,$100 FOC,81210176,,,Block 17A Dempsey Road Singapore 249676,103.81022550000006,1.3056930000000762
88,Captain K Seafood Tower,"Korean, Seafood",Central,Delivery / Self Pickup,$100 FOC else $5.90 delivery fee,62555744,,https://www.captaink.sg/online-ordering,112 Middle Road #01-00A,103.85374050000007,1.2990780000000655
89,Carrot Cubes,Carrot Cake,North,Self Pickup,,97962036,,,527 Ang Mo Kio Avenue 10 #01-115 Singapore 560527,103.85445600000008,1.3727700000000596
91,CCK 302 FoodHouse,"Ngor Hiang, Fishball Noodle, Zi Char",West,Delivery / Self Pickup,$10,,96740015.0,,302 Choa Chu Kang Avenue 4 #01-719 Singapore 680302,103.74333750000005,1.3850190000000566
93,Centre Satay Beehoon,Satay Bee Hoon,North,Islandwide,Pls Enquire,68505058,,www.facebook.com/AMKSatayBeehoon,724 Ang Mo Kio Avenue 6 #01-12,103.84650900000008,1.3721760000000245
96,Char Grilled,"Chicken Wings, Satay",Central,Self Pickup,,81006792,,,166 Jalan Besar Food Centre #01-02 Singapore 208877,103.85689050000008,1.3073400000000674
97,Char Restaurants,"Sio Bak, Char Siew, Zi Char",Central,Islandwide,$50,,96613578.0,http://char.com.sg/,363 Jalan Besar Singapore 208994,103.85953650000005,1.3126590000000533
98,Chatterbox,Chicken Rice,Central,Islandwide,"$50 FOC to Orchard locations, $80 FOC IW",68316291,,https://shop-orchard.meritushotels.com/,Level 5 Chatterbox 333 Orchard Road Singapore 238867,103.83636600000006,1.3020570000000475
100,Cheval Cafe Bar & Bistro,Western,West,Delivery / Self Pickup,$30 / 2 hours in advance,91524459,,www.cheval.com.sg,2 Bukit Batok West Avenue 7 #01-9B Singapore 659003,103.74803550000007,1.3663170000000378
101,Cheval Chi Bao 赤宝,Zi Char,West,Delivery / Self Pickup,$30 / 2 hours in advance,91524459,,www.chibao.com.sg,2 Bukit Batok West Avenue 7 #01-9B Singapore 659003,103.74803550000007,1.3663170000000378
103,Chico Loco,"Healthy Bowls, Burgers",South,Islandwide,FOC if within 1.5km / > $80 - $10 delivery fee else $18,,97387828.0,,102 Amoy Street Singapore 06992,103.84730100000007,1.2816720000000714
107,Chin Lee Restaurant,"Teochew Cuisine, Zi Char",East,Delivery / Self Pickup,Pls Enquire,64495454,,,115 Bedok North Road #01-285 Singapore 460115,103.93702650000006,1.3315500000000497
108,Chin Sin Huan 振新园,"Buns, Fan Choy",Central,Islandwide,No min order $10 delivery fee for orders < $50,,97812891.0,,285 Jalan Besar Singapore 208948,103.85862750000007,1.3108500000000731
112,Chong Qing Grilled Fish - Serangoon,Grilled Fish,North,Delivery / Self Pickup,Pls Enquire,67026680,,,2 Maju Avenue,103.86574650000006,1.3646250000000464
114,Choon Seng Teochew Porridge,Porridge,Central,Delivery / Self Pickup,Pls Enquire,62930706,97282626.0,,43 Cambridge Road Singapore 210043,103.84933050000006,1.3154850000000238
115,Chop Chop Biryani & Meats,Nasi Briyani,South,Delivery / Self Pickup,$15 / Pls Enquire,,81180657.0,,7 Maxwell Road #02-101 Amoy Street Food Centre Singapore 069111,103.84660800000006,1.279215000000022
116,Chuan Chuan Le,"Skewers, Mala",Central,Delivery / Self Pickup,Pls Enquire,96485355,,,64 Horne Road Singapore 209072,103.86125550000008,1.3102650000000722
120,Citrus By The Pool*,"Western, Fusion, Halal",North,Delivery / Self Pickup,$35 FOC for Woodlands and vicinity areas,63666581,87833372.0,,3 Woodlands Street 13 Singapore 738600,103.77922050000006,1.4347620000000347
123,Club July @ Stagmont,Western,West,Self Pickup,,63633381,,,5 Stagmont Ring Singapore 688241,103.75344450000006,1.3947120000000268
124,Cluck Cluck,Western,Central,Islandwide,Pls Enquire,91982673,,,80 Bencoolen Street NAFA Campus 1 #01-15 Singapore 189655,103.85146350000008,1.2998790000000326
126,Comida Mexicana,Mexican,,Delivery / Self Pickup,Pls Enquire,64408030,92222491.0,https://comidamexicana.oddle.me/,404 East Coast Singapore 428998,103.91214150000008,1.3087350000000697
127,COMO Cuisine,"Western, Fusion",Central,Delivery / Self Pickup,$100 FOC,81210176,,,Block 18A Dempsey Road Singapore 249677,103.81081050000006,1.3057020000000534
128,Cookyn Inc,Western,Central,Islandwide,Pls Enquire,,,www.cookyn-inc.com/cooking-lifeskills,31 Ah Hood Road # 01-06 Singapore 329979,103.84879050000006,1.328877000000034
129,Cosmo Dining,Western,West,Self Pickup,,,,http://cosmodining.com.sg/wp-content/uploads/2020/04/cosmo-restaurant-menu.pdf,50 Nanyang View Singapore 639667,103.68805950000007,1.3505310000000463
130,Coucou Restaurant,Western,South,Islandwide,$150 FOC else min $50 with $5 delivery fee,62260060⁣⁣,97313788.0,coucou.wallet.sg,9 Craig Road Singapore 089669,103.84280550000005,1.277712000000065
131,Craft’B,Rice Bowl,South,Delivery / Self Pickup,,96809392,,,7 Maxwell Road #02-115 Singapore 069111,103.84660800000006,1.279215000000022
132,Crystal Jade Hong Kong Kitchen,"Bento, Claypot",Central,Delivery / Self Pickup,,67382911,,,1 Kim Seng Promenade #03-127,103.83181200000007,1.2940470000000346
133,Curious Palette,"Western, Cafe, Burgers",Central,Delivery / Self Pickup,E-mail to Enquire,,,,64 Prinsep Street Singapore 188667,103.85004600000008,1.299690000000055
134,Curry Times (Changi Airport)*,"Curry Chicken, Nasi Lemak, Laksa Goreng",East,Self Pickup,,64478068,,,65 Airport Blvd #B2-51 Changi Airport Terminal 3 Singapore 819663,103.98516750000005,1.354374000000064
135,Curry Times (Jurong)*,"Curry Chicken, Nasi Lemak, Laksa Goreng",West,Self Pickup,,63699609,,,3 Gateway Drive #02-08 Singapore 608532,103.74265800000006,1.3341330000000653
136,Curry Times (Novena)*,"Curry Chicken, Nasi Lemak, Laksa Goreng",North,Self Pickup,,63543206,,,238 Thomson Road #02-33/34 Singapore 307683,103.84386300000006,1.3200210000000538
138,d’Star Bistro,"Western, Healthy Bowl",East,Delivery / Self Pickup,Email to Enquire,,,,8 Somapah Road #01-102 SUTD Singapore 487372,103.96281150000004,1.3411530000000198
139,Da Ji Hainanese Chicken Rice,Chicken Rice,Central,Self Pickup,,,,,75 Lor 5 Toa Payoh #01-31 Singapore 310075,103.85295750000006,1.3360230000000684
140,Da Shi Jia Big Prawn Mee,Prawn Noodle,,Islandwide,$60,67321085,91378292.0,,89 Killiney Rd Singapore 239534,103.83914700000008,1.298430000000053
141,Dessert Monster,"Dessert, Soya Bean Curd",Central,Self Pickup,,,,,210 Lorong 8 Toa Payoh Market #01-26 Singapore 310210,103.85439750000006,1.3402620000000525
142,Different Taste Cafe & Restaurant,"Fish Head Curry, Penang Kway Teow",East,Limited Delivery,"$80 (FOC), $40 with $5 delivery fee",93297111,,,111 Frankel Avenue Road Singapore 458229,103.91953500000005,1.314369000000056
143,Dim Sum Haus*,Dim Sum,Central,Islandwide,$20,,81334830.0,http://order.dimsumhaus.com.sg,57 Jalan Besar Singapore 208809,103.85484750000006,1.3050360000000296
146,Earlybird,Western,West,Islandwide,$50 with $10 delivery fee / Pls Enquire,97886856,,https://www.facebook.com/earlybirdcafesingapore,21 Lorong Kilat # 01-02 Singapore 598123,103.77324900000008,1.3408020000000533
148,Easy Chatuchak Beef Noodles,"Thai Food, Beef Noodle",East,Delivery / Self Pickup,$35 FOC else $5 delivery,97716227,,,10 Eunos Road 8 #02-138 Singapore 408600,103.89450600000004,1.3189590000000635
150,Eat First,Zi Char,East,Self Pickup,,64438434,,,891 East Coast Road Singapore 459094,103.92399900000004,1.3128840000000537
152,Elemen Classic,Vegetarian,Central,Delivery / Self Pickup,1 hours in advance / Pls Enquire,84886372,,,1 Kim Seng Promenade #01-122 Singapore 237994,103.83181200000007,1.2940470000000346
154,Empress Porridge,"Porridge, Pork Trotter Bee Hoon",West,Delivery / Self Pickup,$60,,94568828.0,,1 Fusionopolis Place #01-15 Galaxis Singapore 138632,103.78810350000003,1.2998610000000212
155,Empress Porridge,"Porridge, Curry Rice",West,Delivery / Self Pickup,Pls Enquire,94568828,,www.empressporridge.com,1 Fusionopolis Place #01-15 Singapore 138632,103.78810350000003,1.2998610000000212
156,En Sushi,Japanese,Central,Delivery / Self Pickup,$100 FOC else $5.90 delivery fee,62598548,,https://www.captaink.sg/online-ordering,112 Middle Road #01-00B,103.85374050000007,1.2990780000000655
157,Enak,Muslim Food,South,Delivery / Self Pickup,,96666909,91516161.0,https://enak.oddle.me/en_SG/,201 Henderson Road #03-18 Apex @Henderson Singapore 159545,103.82041350000009,1.2823920000000726
158,Encik Heng Cafe,Chicken Rice,West,Islandwide,Pls Enquire,98346066,,,2 Venture Drive #02-40,103.74457500000005,1.3301550000000475
159,Eng Ho Fried Hokkien Mee,Hokkien Mee,North,Self Pickup,,98156826,,,409 Ang Mo Kio Avenue 10 #01-34 Singapore 560409,103.85528850000009,1.3626540000000205
160,Eng Kee Chicken Wings,Fried Chicken Wings,West,Delivery / Self Pickup,,92339330,96367382.0,www.engkeechickenwings.getz.co,117 Commonwealth Drive,103.80027150000006,1.3065930000000208
161,Enjoy Eating House and Bar,Thai Food,Central,Delivery / Self Pickup,$70 FOC else Pls Enquire,92991601,,,383 Jalan Besar Singapore 209001,103.85969850000004,1.3132260000000429
162,Esarn Thai Corner,Thai Food,North,Islandwide,Pls Enquire / $5 islandwide,65544174,91770316.0,,9 Thomson Ridge Singapore 574637,103.83379200000007,1.352907000000073
163,Famous JB101,"Zi Char, Curry Fish Head",West,Islandwide,$50 FOC,92233707,,,45 Science Park Road #01-03/04 Singapore 117407,103.78285650000004,1.2879630000000475
164,Fancy Delight,Cookies,,Delivery / Self Pickup,Pls Enquire,,98808074.0,https://www.fancydelight.com.sg/shop/,17 Lorong Kilat #01-04,103.77421200000003,1.340829000000042
165,Farmart 阿诺 BBQ,"BBQ Seafood, Otah",West,Delivery / Self Pickup,,90222870,,,101 Yung Sheng Road Singapore 618497,103.72199850000004,1.334367000000043
166,Fat Belly - Alternative Steakhouse,"Peranakan, Set Menu",West,Islandwide,"Fat Belly set menu 1.Pickup and delivery will be available from 6-9pm daily 2. There is no lead time but we would recommend placing an order in advance to secure your steaks 3. No minimum order. Delivery will be $5 islandwide. If you order 2 or more sets then delivery will be free. If dishes are ordered ala carte, delivery will be $15 islandwide. Peranakan menu We have a new menu every week going at $55 for 2 pax, $98 for 4 pax 1. Pick up and delivery will be available from Thursday - Sunday (4pm - 8pm). Last order for same day pickup or delivery will be at 6pm. 2. It would be best to order in advance to ensure their secure your order. 3. Orders come in 2 pax and 4 pax and you can order any quantity of that. Delivery will be $5 islandwide.",83992139,,,10 Jalan Serene #01-04 Singapore 258748,103.81375350000008,1.3224330000000464
167,Fatty Weng Kitchen,Zi Char,West,Call to Enquire,$50,67771272,,,273 Bukit Batok East Ave 4,103.75758000000008,1.3484250000000202
169,Fisher's Tavern Seafood*,"Zi Char, Halal",North,Delivery / Self Pickup,Pls Enquire,62512686,97867796.0,www.fisherstavern.com.sg,6 Yishun Industrial Street 1 #01-01/02 Singapore 768090,103.84366500000004,1.4366790000000265
170,Five Star Kampung Chicken Rice (Bukit Timah),Chicken Rice,West,Delivery / Self Pickup,,64663000,86687555.0,www.fivestarchickenrice.com/delivery,7 Cheong Chin Nam Road,103.77523800000006,1.342629000000045
173,Flavours By Saute,Vegetarian,Central,Delivery / Self Pickup,Pls Enquire,,98308582.0,,107 North Bridge Road #B1-30 Singapore 179105,103.84920900000009,1.290042000000028
175,Food Anatomy,"Protein Bowl, Rice Bowl",West,Islandwide,Pls Enquire,,93958632.0,,73A Ayer Rajah Crescent #01-31 Singapore 139957,103.78741950000006,1.2972780000000625
176,Foodelicia (Bukit Batok),Western,West,Delivery / Self Pickup,,,,,451 Bukit Batok West Avenue 6 Singapore 650451,103.74394950000004,1.3530420000000731
182,Fu Shi,Wanton Noodle,East,Islandwide,Pls Enquire,,91131752.0,https://www.jotform.com/shidefu/shi-de-fu/,69 Geylang Bahru # 01-65 Singapore 330069,103.87000350000005,1.3214610000000562
183,Full of Luck Restaurant,Zi Char,West,Islandwide,$100 (FOC) else $12 delivery fee,62086845,,,243 Holland Avenue Singapore 278977,103.79557800000003,1.311057000000062
184,Fullstop,Rice Bowl,Central,Delivery / Self Pickup,$88 FOC else $30 with delivery fee,,96502949.0,,107 North Bridge Road #01-20 Singapore 179105,103.84920900000009,1.290042000000028
186,FuZhou Ban Mian,"Ban Mian, Mee Hoon Kueh",Central,Self Pickup,,93668510,,,186 Toa Payoh Central #01-402 Singapore 310186,103.85021250000005,1.3326570000000402
188,GaZette,Western,South,Delivery / Self Pickup,Pls Enquire,91150538,,,165 Telok Ayer Street,103.84752600000007,1.2801960000000463
189,Geylang 29 Fried Hokkien Mee,"Fried Hokkien Mee, Satay",East,Self Pickup,,87679314,,,East Coast Lagoon Food Village #01-032 Singapore 468960,103.93485300000003,1.3067910000000325
191,Geylang Serai Satay,Satay,South,Delivery / Self Pickup,$100 FOC else $6-$10,,92700323.0,,Marina Garden Drive Satay by the Bay,103.86432000000008,1.281816000000049
192,Ghim Moh Chwee Kueh,Chwee Kueh,West,Self Pickup,,91766850,,,20 Ghim Moh Road #01-54 Singapore 270020,103.78822950000006,1.3109940000000506
193,Gik Gik Heng Prawn Mee Lor Mee,"Prawn Mee, Lor Mee",North,Delivery / Self Pickup,,,,,527 Ang Mo Kio Avenue 10 #01-129,103.82936850000004,1.38013200000006
195,Godmama,Peranakan,Central,Islandwide,$100 FOC else $10 delivery fee with no min,81891398,,,107 North Bridge Road #04-07 Singapore 179097,103.86370800000009,1.3043340000000399
196,Good Bites,Western,North,Delivery / Self Pickup,$15 with $12 delivery fee / Pls Enquire,69700233,87833372.0,https://www.goodbites.com.sg/order/,5 Bishan Street 14 #03-01 Singapore 579783,103.85122500000006,1.3554000000000315
197,Good Chance Restaurant / Good Chance Catering,"Popiah, Zi Char",Central,Islandwide,$50,96229445,88236363.0,www.goodchance.com.sg,1 Jalan Berseh #01-15,103.85724600000003,1.3075920000000565
198,GoodYear Seafood Restaurant,"Bak Kut Teh, Zi Char",East,Delivery / Self Pickup,"$80 FOC, Min $15, Pls Enquire",,96425800.0,,15 Tampines Avenue Singapore 529788,103.92658200000005,1.3664790000000266
199,Goro Japanese Cuisine,Japanese,West,Delivery / Self Pickup,,91820553,,,43 Holland Dr #01-49 Singapore 270043,103.79289600000004,1.3074300000000676
200,Got Luck Cafe,"Kueh, Nasi Lemak, Ayam Penyet",Central,Self Pickup,,81687536,,www.gotluckcafe.com/,56 Kandahar Street,103.86005400000005,1.3016250000000582
201,Grandma’s Place,Zichar,North,Delivery / Self Pickup,,82828807,,,8 Admiralty Street #01-05 Admirax Singapore 757438,103.81543650000003,1.4624010000000567
203,Greenwood Fish Market (Bukit Timah),"Fish & Chips, Oysters, Western",West,Islandwide,$160 FOC / Visit website for info,,,,"34 Greenwood Avenue Singapore, 289236",103.80649050000005,1.3318290000000275
204,Grill Ninety Nine,Western,Central,Delivery / Self Pickup,$50 FOC,97312902,,,142 Arab Street Singapore 199828,103.85808750000007,1.3026150000000598
205,Grub,Western,North,Islandwide,$50 FOC else $10 delivery fee,,,www.grub.com.sg/delivery,510 Ang Mo Kio Ave 1 (Bishan - Ang Mo Kio Park) Singapore 569983,103.83562800000004,1.364985000000047
